time_online,age,active,positive,negative,weight,auc,weight_fraction
330,331,6747,1926,4821,9285246,0.5359547824581061,0.0017580025105371543
331,332,6732,1931,4801,9270731,0.5366138872975604,0.0017552543435590854
332,333,6721,1932,4789,9252348,0.5386067406889581,0.0017517738369412527
333,334,6710,1932,4778,9231096,0.5386054916989271,0.001747750134246253
334,335,6701,1937,4764,9227868,0.538554300950122,0.0017471389676596042
335,336,6688,1933,4755,9191415,0.5380567627508931,0.0017402372156202278
336,337,6684,1933,4751,9183683,0.5378359640680106,0.0017387732936722823
337,338,6675,1931,4744,9160664,0.5373636670878879,0.001734415039750948
338,339,6663,1929,4734,9131886,0.5377959164185799,0.001728966417684474
339,340,6656,1927,4729,9112783,0.5374731297782467,0.001725349591381887
340,341,6645,1925,4720,9086000,0.5370715386308607,0.00172027868844192
341,342,6627,1923,4704,9045792,0.5359279762346956,0.0017126659913799705
342,343,6619,1925,4694,9035950,0.5362142331464871,0.0017108025770225365
343,344,6610,1925,4685,9018625,0.5362836352548199,0.0017075223846081346
344,345,6599,1925,4674,8997450,0.5360096471778115,0.0017035132605460878
345,346,6592,1924,4668,8981232,0.5352063057718585,0.0017004426596469956
346,347,6587,1926,4661,8977086,0.5353430946300392,0.001699657685462285
347,348,6575,1923,4652,8945796,0.5353778467561746,0.0016937334591623349
348,349,6565,1925,4640,8932000,0.5363977832512316,0.0016911214225361247
349,350,6559,1928,4631,8928568,0.5381560626519282,0.0016904716320387955
350,351,6547,1930,4617,8910810,0.5376772706409406,0.0016871094584806454
351,352,6535,1935,4600,8901000,0.5380996517245253,0.0016852521027758672
352,353,6523,1933,4590,8872470,0.5387524556296048,0.0016798504352674754
353,354,6516,1936,4580,8866880,0.538668167382439,0.0016787920643816742
354,355,6506,1934,4572,8842248,0.5389571746913229,0.001674128416499911
355,356,6497,1936,4561,8830096,0.5382041146551522,0.0016718276431538898
356,357,6489,1941,4548,8827668,0.5386917586841735,0.0016713679428836349
357,358,6478,1939,4539,8801121,0.538465611369279,0.001666341722507004
358,359,6462,1936,4526,8762336,0.5390495183019688,0.00165899844615534
359,360,6453,1938,4515,8750070,0.5387079189080773,0.001656676088859233
360,361,6445,1938,4507,8734566,0.5384177073022289,0.0016537406716475222
361,362,6441,1941,4500,8734500,0.5378739481366992,0.0016537281756764197
362,363,6428,1934,4494,8691396,0.5380901986286207,0.001645567170549125
363,364,6415,1926,4489,8645814,0.5373857221540967,0.0016369369985068005
364,365,6400,1921,4479,8604159,0.536910231435751,0.0016290503367450738
365,366,6388,1920,4468,8578560,0.5362895404356908,0.0016242036039533696
366,367,6375,1915,4460,8540900,0.5363401983397534,0.0016170733271091344
367,368,6369,1920,4449,8542080,0.5361985605379487,0.0016172967399258151
368,369,6355,1920,4435,8515200,0.5353514891018414,0.0016122074716949854
369,370,6350,1923,4427,8513121,0.5341762439415579,0.0016118138486052572
370,371,6343,1924,4419,8502156,0.5342277888102736,0.0016097378134061855
371,372,6334,1926,4408,8489808,0.535214341714206,0.001607399930812648
372,373,6320,1917,4403,8440551,0.536089409328846,0.00159807396037939
373,374,6306,1915,4391,8408765,0.536546924548373,0.0015920558249632754
374,375,6300,1916,4384,8399744,0.5359737153894214,0.0015903478529130405
375,376,6294,1917,4377,8390709,0.5366616813906906,0.0015886372302022687
376,377,6287,1920,4367,8384640,0.537761907487978,0.0015874881688595268
377,378,6275,1916,4359,8351844,0.537271529496959,0.0015812788072189653
378,379,6261,1912,4349,8315288,0.5369841669945767,0.0015743575538913533
379,380,6250,1910,4340,8289400,0.5368079716264145,0.001569456103892852
380,381,6242,1913,4329,8281377,0.5367751039470852,0.001567937086072318
381,382,6223,1913,4310,8245030,0.5379048954339766,0.0015610554033198638
382,383,6215,1913,4302,8229726,0.5378570319352066,0.0015581578526872517
383,384,6201,1909,4292,8193428,0.5380269406163086,0.0015512854472466767
384,385,6185,1902,4283,8146266,0.5391660424542974,0.0015423561292294745
385,386,6176,1901,4275,8126775,0.5388121364255809,0.0015386658417634366
386,387,6162,1895,4267,8085965,0.5394366658772329,0.0015309391662984009
387,388,6145,1893,4252,8049036,0.5385757996361303,0.00152394729180077
388,389,6134,1894,4240,8030560,0.5393801926640234,0.0015204491772236566
389,390,6124,1892,4232,8006944,0.5393831903907408,0.0015159778915637134
390,391,6113,1893,4220,7988460,0.539071360437431,0.001512478262323436
391,392,6107,1893,4214,7977102,0.5394601949429756,0.001510327819296436
